age,test_label
63.0,controls train
74.0,controls train
55.0,controls train
72.0,controls train
72.0,controls train
66.0,controls train
59.0,controls train
70.0,controls train
59.0,controls train
69.0,controls train
66.0,controls train
54.0,controls train
76.0,controls train
60.0,controls train
56.0,controls train
60.0,controls train
60.0,controls train
66.0,controls train
69.0,controls train
64.0,controls train
72.0,controls train
51.0,controls train
66.0,controls train
71.0,controls train
70.0,controls train
66.0,controls train
68.0,controls train
58.0,controls train
60.0,controls train
73.0,controls train
51.0,controls train
57.0,controls train
49.0,controls train
74.0,controls train
73.0,controls train
57.0,controls train
58.0,controls train
67.0,controls train
53.0,controls train
69.0,controls train
67.0,controls train
71.0,controls train
50.0,controls train
61.0,controls train
69.0,controls train
70.0,controls train
52.0,controls train
69.0,controls train
70.0,controls train
69.0,controls train
74.0,controls train
75.0,controls train
66.0,controls train
77.0,controls train
49.0,controls train
78.0,controls train
73.0,controls train
72.0,controls train
61.0,controls train
59.0,controls train
59.0,controls train
79.0,controls train
49.0,controls train
70.0,controls train
63.0,controls train
51.0,controls train
62.0,controls train
62.0,controls train
51.0,controls train
51.0,controls train
69.0,controls train
63.0,controls train
53.0,controls train
66.0,controls train
69.0,controls train
68.0,controls train
77.0,controls train
70.0,controls train
56.0,controls train
58.0,controls train
60.0,controls train
57.0,controls train
70.0,controls train
61.0,controls train
75.0,controls train
71.0,controls train
69.0,controls train
60.0,controls train
68.0,controls train
60.0,controls train
55.0,controls train
51.0,controls train
62.0,controls train
64.0,controls train
58.0,controls train
65.0,controls train
68.0,controls train
63.0,controls train
72.0,controls train
69.0,controls train
54.0,controls train
58.0,controls train
59.0,controls train
67.0,controls train
54.0,controls train
72.0,controls train
69.0,controls train
74.0,controls train
60.0,controls train
67.0,controls train
54.0,controls train
53.0,controls train
61.0,controls train
69.0,controls train
63.0,controls train
51.0,controls train
53.0,controls train
57.0,controls train
59.0,controls train
75.0,controls train
66.0,controls train
49.0,controls train
64.0,controls train
67.0,controls train
60.0,controls train
66.0,controls train
72.0,controls train
65.0,controls train
64.0,controls train
64.0,controls train
52.0,controls train
61.0,controls train
79.0,controls train
60.0,controls train
47.0,controls train
70.0,controls train
54.0,controls train
60.0,controls train
54.0,controls train
71.0,controls train
64.0,controls train
55.0,controls train
74.0,controls train
68.0,controls train
69.0,controls train
48.0,controls train
59.0,controls train
55.0,controls train
69.0,controls train
60.0,controls train
69.0,controls train
77.0,controls train
57.0,controls train
52.0,controls train
65.0,controls train
69.0,controls train
49.0,controls train
66.0,controls train
67.0,controls train
73.0,controls train
68.0,controls train
60.0,controls train
62.0,controls train
70.0,controls train
53.0,controls train
48.0,controls train
50.0,controls train
51.0,controls train
67.0,controls train
52.0,controls train
60.0,controls train
55.0,controls train
54.0,controls train
71.0,controls train
70.0,controls train
63.0,controls train
58.0,controls train
56.0,controls train
62.0,controls train
56.0,controls train
68.0,controls train
53.0,controls train
70.0,controls train
69.0,controls train
72.0,controls train
70.0,controls train
52.0,controls train
56.0,controls train
79.0,controls train
61.0,controls train
51.0,controls train
67.0,controls train
53.0,controls train
48.0,controls train
60.0,controls train
65.0,controls train
71.0,controls train
67.0,controls train
65.0,controls train
62.0,controls train
66.0,controls train
57.0,controls train
65.0,controls train
64.0,controls train
69.0,controls train
71.0,controls train
67.0,controls train
79.0,controls train
60.0,controls train
54.0,controls train
67.0,controls train
65.0,controls train
62.0,controls train
78.0,controls train
56.0,controls train
71.0,controls train
63.0,controls train
65.0,controls train
59.0,controls train
72.0,controls train
56.0,controls train
62.0,controls train
64.0,controls train
74.0,controls train
64.0,controls train
70.0,controls train
59.0,controls train
69.0,controls train
69.0,controls train
72.0,controls train
54.0,controls train
76.0,controls train
75.0,controls train
55.0,controls train
59.0,controls train
55.0,controls train
71.0,controls train
62.0,controls train
52.0,controls train
55.0,controls train
64.0,controls train
66.0,controls train
71.0,controls train
66.0,controls train
67.0,controls train
60.0,controls train
51.0,controls train
59.0,controls train
61.0,controls train
58.0,controls train
72.0,controls train
71.0,controls train
66.0,controls train
64.0,controls train
62.0,controls train
54.0,controls train
68.0,controls train
59.0,controls train
70.0,controls train
68.0,controls train
78.0,controls train
70.0,controls train
67.0,controls train
54.0,controls train
55.0,controls train
66.0,controls train
69.0,controls train
53.0,controls train
69.0,controls train
72.0,controls train
48.0,controls train
55.0,controls train
66.0,controls train
65.0,controls train
78.0,controls train
60.0,controls train
72.0,controls train
70.0,controls train
60.0,controls train
60.0,controls train
67.0,controls train
62.0,controls train
58.0,controls train
77.0,controls train
63.0,controls train
63.0,controls train
72.0,controls train
75.0,controls train
54.0,controls train
58.0,controls train
66.0,controls train
59.0,controls train
56.0,controls train
65.0,controls train
70.0,controls train
61.0,controls train
59.0,controls train
71.0,controls train
70.0,controls train
66.0,controls train
59.0,controls train
65.0,controls train
60.0,controls train
67.0,controls train
68.0,controls train
60.0,controls train
67.0,controls train
66.0,controls train
66.0,controls train
62.0,controls train
67.0,controls train
63.0,controls train
64.0,controls train
48.0,controls train
77.0,controls train
56.0,controls train
64.0,controls train
58.0,controls train
52.0,controls train
51.0,controls train
60.0,controls train
47.0,controls train
65.0,controls train
71.0,controls train
63.0,controls train
70.0,controls train
67.0,controls train
52.0,controls train
71.0,controls train
56.0,controls train
67.0,controls train
56.0,controls train
68.0,controls train
53.0,controls train
63.0,controls train
64.0,controls train
65.0,controls train
64.0,controls train
73.0,controls train
63.0,controls train
63.0,controls train
70.0,controls train
63.0,controls train
51.0,controls train
53.0,controls train
71.0,controls train
73.0,controls train
50.0,controls train
66.0,controls train
73.0,controls train
60.0,controls train
53.0,controls train
72.0,controls train
51.0,controls train
77.0,controls train
67.0,controls train
49.0,controls train
70.0,controls train
72.0,controls train
73.0,controls train
59.0,controls train
50.0,controls train
73.0,controls train
70.0,controls train
76.0,controls train
75.0,controls train
60.0,controls train
68.0,controls train
70.0,controls train
66.0,controls train
72.0,controls train
73.0,controls train
55.0,controls train
66.0,controls train
66.0,controls train
64.0,controls train
54.0,controls train
53.0,controls train
56.0,controls train
60.0,controls train
68.0,controls train
60.0,controls train
70.0,controls train
73.0,controls train
54.0,controls train
58.0,controls train
73.0,controls train
67.0,controls train
67.0,controls train
62.0,controls train
69.0,controls train
59.0,controls train
70.0,controls train
56.0,controls train
75.0,controls train
76.0,controls train
54.0,controls train
73.0,controls train
74.0,controls train
57.0,controls train
56.0,controls train
59.0,controls train
72.0,controls train
67.0,controls train
57.0,controls train
72.0,controls train
74.0,controls train
57.0,controls train
64.0,controls train
49.0,controls train
71.0,controls train
73.0,controls train
62.0,controls train
69.0,controls train
60.0,controls train
69.0,controls train
50.0,controls train
70.0,controls train
54.0,controls train
57.0,controls train
62.0,controls train
70.0,controls train
52.0,controls train
80.0,controls train
70.0,controls train
55.0,controls train
63.0,controls train
69.0,controls train
60.0,controls train
50.0,controls train
71.0,controls train
55.0,controls train
52.0,controls train
68.0,controls train
64.0,controls train
71.0,controls train
66.0,controls train
72.0,controls train
75.0,controls train
74.0,controls train
58.0,controls train
49.0,controls train
69.0,controls train
56.0,controls train
74.0,controls train
79.0,controls train
64.0,controls train
62.0,controls train
62.0,controls train
70.0,controls train
59.0,controls train
73.0,controls train
69.0,controls train
61.0,controls train
66.0,controls train
68.0,controls train
62.0,controls train
58.0,controls train
60.0,controls train
68.0,controls train
66.0,controls train
55.0,controls train
68.0,controls train
61.0,controls train
68.0,controls train
66.0,controls train
59.0,controls train
57.0,controls train
50.0,controls train
68.0,controls train
67.0,controls train
71.0,controls train
72.0,controls train
67.0,controls train
55.0,controls train
70.0,controls train
69.0,controls train
54.0,controls train
69.0,controls train
72.0,controls train
53.0,controls train
66.0,controls train
53.0,controls train
66.0,controls train
52.0,controls train
63.0,controls train
52.0,controls train
55.0,controls train
70.0,controls train
54.0,controls train
50.0,controls train
63.0,controls train
76.0,controls train
54.0,controls train
66.0,controls train
57.0,controls train
48.0,controls train
71.0,controls train
63.0,controls train
63.0,controls train
59.0,controls train
58.0,controls train
